question_id,desc_id,given_info,question,answer,meta,reasoning
96,getting_tanned-fork-det-counterfactual-model162-spec0-q7,We know that tanning salon treatment or going to the beach causes tanned skin. We observed the person goes to the beach.,Would the person has pale skin if tanning salon treatment instead of no tanning salon treatment?,no,"{'story_id': 'getting_tanned', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=1} = 0 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 162}","{'step0': 'Let V2 = going to the beach; X = tanning salon treatment; Y = skin.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X or V2', 'step5': 'Y = 1 = 1 or 1', 'end': '0'}"
97,getting_tanned-fork-det-counterfactual-model163-spec1-q0,We know that tanning salon treatment and going to the beach causes tanned skin. We observed the person does not go to the beach.,Would the person has tanned skin if no tanning salon treatment instead of tanning salon treatment?,no,"{'story_id': 'getting_tanned', 'graph_id': 'fork', 'given_info': {'V2': 0}, 'formal_form': 'Y_{X=0} = 1 | V2=0', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 163}","{'step0': 'Let V2 = going to the beach; X = tanning salon treatment; Y = skin.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=0} = 1 | V2=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 0\nY = X and V2', 'step5': 'Y = 0 = 0 and 0', 'end': '0'}"
98,getting_tanned-fork-det-counterfactual-model163-spec1-q1,We know that tanning salon treatment and going to the beach causes tanned skin. We observed the person does not go to the beach.,Would the person has pale skin if no tanning salon treatment instead of tanning salon treatment?,yes,"{'story_id': 'getting_tanned', 'graph_id': 'fork', 'given_info': {'V2': 0}, 'formal_form': 'Y_{X=0} = 0 | V2=0', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 163}","{'step0': 'Let V2 = going to the beach; X = tanning salon treatment; Y = skin.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=0} = 0 | V2=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 0\nY = X and V2', 'step5': 'Y = 0 = 0 and 0', 'end': '1'}"
99,getting_tanned-fork-det-counterfactual-model163-spec1-q2,We know that tanning salon treatment and going to the beach causes tanned skin. We observed the person does not go to the beach.,Would the person has tanned skin if tanning salon treatment instead of no tanning salon treatment?,no,"{'story_id': 'getting_tanned', 'graph_id': 'fork', 'given_info': {'V2': 0}, 'formal_form': 'Y_{X=1} = 1 | V2=0', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 163}","{'step0': 'Let V2 = going to the beach; X = tanning salon treatment; Y = skin.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 1 | V2=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 0\nY = X and V2', 'step5': 'Y = 0 = 1 and 0', 'end': '0'}"
100,getting_tanned-fork-det-counterfactual-model163-spec1-q3,We know that tanning salon treatment and going to the beach causes tanned skin. We observed the person does not go to the beach.,Would the person has pale skin if tanning salon treatment instead of no tanning salon treatment?,yes,"{'story_id': 'getting_tanned', 'graph_id': 'fork', 'given_info': {'V2': 0}, 'formal_form': 'Y_{X=1} = 0 | V2=0', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 163}","{'step0': 'Let V2 = going to the beach; X = tanning salon treatment; Y = skin.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | V2=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 0\nY = X and V2', 'step5': 'Y = 0 = 1 and 0', 'end': '1'}"
101,getting_tanned-fork-det-counterfactual-model163-spec1-q4,We know that tanning salon treatment and going to the beach causes tanned skin. We observed the person goes to the beach.,Would the person has tanned skin if no tanning salon treatment instead of tanning salon treatment?,no,"{'story_id': 'getting_tanned', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=0} = 1 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 163}","{'step0': 'Let V2 = going to the beach; X = tanning salon treatment; Y = skin.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=0} = 1 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X and V2', 'step5': 'Y = 0 = 0 and 1', 'end': '0'}"
102,getting_tanned-fork-det-counterfactual-model163-spec1-q5,We know that tanning salon treatment and going to the beach causes tanned skin. We observed the person goes to the beach.,Would the person has pale skin if no tanning salon treatment instead of tanning salon treatment?,yes,"{'story_id': 'getting_tanned', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=0} = 0 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 163}","{'step0': 'Let V2 = going to the beach; X = tanning salon treatment; Y = skin.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=0} = 0 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X and V2', 'step5': 'Y = 0 = 0 and 1', 'end': '1'}"
103,getting_tanned-fork-det-counterfactual-model163-spec1-q6,We know that tanning salon treatment and going to the beach causes tanned skin. We observed the person goes to the beach.,Would the person has tanned skin if tanning salon treatment instead of no tanning salon treatment?,yes,"{'story_id': 'getting_tanned', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=1} = 1 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 163}","{'step0': 'Let V2 = going to the beach; X = tanning salon treatment; Y = skin.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 1 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X and V2', 'step5': 'Y = 1 = 1 and 1', 'end': '1'}"
104,getting_tanned-fork-det-counterfactual-model163-spec1-q7,We know that tanning salon treatment and going to the beach causes tanned skin. We observed the person goes to the beach.,Would the person has pale skin if tanning salon treatment instead of no tanning salon treatment?,no,"{'story_id': 'getting_tanned', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=1} = 0 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 163}","{'step0': 'Let V2 = going to the beach; X = tanning salon treatment; Y = skin.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X and V2', 'step5': 'Y = 1 = 1 and 1', 'end': '0'}"
105,penguin-mediation-det-counterfactual-model164-spec0-q0,We know that taking the elevator causes penguin happiness. taking the elevator and penguin happiness causes penguin death.,Would the penguin dies if taking the stairs instead of taking the elevator?,no,"{'story_id': 'penguin', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=0} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 164}","{'step0': 'Let X = my decision; V2 = penguin mood; Y = penguin survival.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=0} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nY = X and V2', 'step5': 'Y = 0 = 0 and 0', 'end': '0'}"
106,penguin-mediation-det-counterfactual-model164-spec0-q1,We know that taking the elevator causes penguin happiness. taking the elevator and penguin happiness causes penguin death.,Would the penguin lives if taking the stairs instead of taking the elevator?,yes,"{'story_id': 'penguin', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=0} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 164}","{'step0': 'Let X = my decision; V2 = penguin mood; Y = penguin survival.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=0} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nY = X and V2', 'step5': 'Y = 0 = 0 and 0', 'end': '1'}"
107,penguin-mediation-det-counterfactual-model164-spec0-q2,We know that taking the elevator causes penguin happiness. taking the elevator and penguin happiness causes penguin death.,Would the penguin dies if taking the elevator instead of taking the stairs?,yes,"{'story_id': 'penguin', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=1} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 164}","{'step0': 'Let X = my decision; V2 = penguin mood; Y = penguin survival.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=1} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nY = X and V2', 'step5': 'Y = 1 = 1 and 1', 'end': '1'}"
108,penguin-mediation-det-counterfactual-model164-spec0-q3,We know that taking the elevator causes penguin happiness. taking the elevator and penguin happiness causes penguin death.,Would the penguin lives if taking the elevator instead of taking the stairs?,no,"{'story_id': 'penguin', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=1} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 164}","{'step0': 'Let X = my decision; V2 = penguin mood; Y = penguin survival.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nY = X and V2', 'step5': 'Y = 1 = 1 and 1', 'end': '0'}"
109,penguin-mediation-det-counterfactual-model165-spec1-q0,We know that taking the elevator causes penguin saddness. taking the elevator or penguin happiness causes penguin death.,Would the penguin dies if taking the stairs instead of taking the elevator?,yes,"{'story_id': 'penguin', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=0} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 165}","{'step0': 'Let X = my decision; V2 = penguin mood; Y = penguin survival.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=0} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = not X\nY = X or V2', 'step5': 'Y = 1 = 0 or 1', 'end': '1'}"
110,penguin-mediation-det-counterfactual-model165-spec1-q1,We know that taking the elevator causes penguin saddness. taking the elevator or penguin happiness causes penguin death.,Would the penguin lives if taking the stairs instead of taking the elevator?,no,"{'story_id': 'penguin', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=0} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 165}","{'step0': 'Let X = my decision; V2 = penguin mood; Y = penguin survival.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=0} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = not X\nY = X or V2', 'step5': 'Y = 1 = 0 or 1', 'end': '0'}"
111,penguin-mediation-det-counterfactual-model165-spec1-q2,We know that taking the elevator causes penguin saddness. taking the elevator or penguin happiness causes penguin death.,Would the penguin dies if taking the elevator instead of taking the stairs?,yes,"{'story_id': 'penguin', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=1} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 165}","{'step0': 'Let X = my decision; V2 = penguin mood; Y = penguin survival.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=1} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = not X\nY = X or V2', 'step5': 'Y = 1 = 1 or 0', 'end': '1'}"
112,penguin-mediation-det-counterfactual-model165-spec1-q3,We know that taking the elevator causes penguin saddness. taking the elevator or penguin happiness causes penguin death.,Would the penguin lives if taking the elevator instead of taking the stairs?,no,"{'story_id': 'penguin', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=1} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 165}","{'step0': 'Let X = my decision; V2 = penguin mood; Y = penguin survival.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = not X\nY = X or V2', 'step5': 'Y = 1 = 1 or 0', 'end': '0'}"
113,vaccine_kills-diamond-det-counterfactual-model166-spec0-q0,We know that vaccination causes having smallpox and severe vaccination reaction. having smallpox and severe vaccination reaction causes smallpox survival.,Would the person survives smallpox if lack of vaccination instead of vaccination?,no,"{'story_id': 'vaccine_kills', 'graph_id': 'diamond', 'given_info': {}, 'formal_form': 'Y_{X=0} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 166}","{'step0': 'Let X = vaccination status; V3 = vaccination reaction; V2 = getting smallpox; Y = smallpox survival.', 'step1': 'X->V3,X->V2,V2->Y,V3->Y', 'step2': 'Y_{X=0} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nV3 = V2\nY = V2 and V3', 'step5': 'Y = [0] = 0 and 0', 'end': '0'}"
114,vaccine_kills-diamond-det-counterfactual-model166-spec0-q1,We know that vaccination causes having smallpox and severe vaccination reaction. having smallpox and severe vaccination reaction causes smallpox survival.,Would the person dies from smallpox if lack of vaccination instead of vaccination?,yes,"{'story_id': 'vaccine_kills', 'graph_id': 'diamond', 'given_info': {}, 'formal_form': 'Y_{X=0} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 166}","{'step0': 'Let X = vaccination status; V3 = vaccination reaction; V2 = getting smallpox; Y = smallpox survival.', 'step1': 'X->V3,X->V2,V2->Y,V3->Y', 'step2': 'Y_{X=0} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nV3 = V2\nY = V2 and V3', 'step5': 'Y = [0] = 0 and 0', 'end': '1'}"
115,vaccine_kills-diamond-det-counterfactual-model166-spec0-q2,We know that vaccination causes having smallpox and severe vaccination reaction. having smallpox and severe vaccination reaction causes smallpox survival.,Would the person survives smallpox if vaccination instead of lack of vaccination?,yes,"{'story_id': 'vaccine_kills', 'graph_id': 'diamond', 'given_info': {}, 'formal_form': 'Y_{X=1} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 166}","{'step0': 'Let X = vaccination status; V3 = vaccination reaction; V2 = getting smallpox; Y = smallpox survival.', 'step1': 'X->V3,X->V2,V2->Y,V3->Y', 'step2': 'Y_{X=1} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nV3 = V2\nY = V2 and V3', 'step5': 'Y = [1] = 1 and 1', 'end': '1'}"
116,vaccine_kills-diamond-det-counterfactual-model166-spec0-q3,We know that vaccination causes having smallpox and severe vaccination reaction. having smallpox and severe vaccination reaction causes smallpox survival.,Would the person dies from smallpox if vaccination instead of lack of vaccination?,no,"{'story_id': 'vaccine_kills', 'graph_id': 'diamond', 'given_info': {}, 'formal_form': 'Y_{X=1} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 166}","{'step0': 'Let X = vaccination status; V3 = vaccination reaction; V2 = getting smallpox; Y = smallpox survival.', 'step1': 'X->V3,X->V2,V2->Y,V3->Y', 'step2': 'Y_{X=1} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nV3 = V2\nY = V2 and V3', 'step5': 'Y = [1] = 1 and 1', 'end': '0'}"
117,vaccine_kills-diamond-det-counterfactual-model167-spec1-q0,We know that vaccination causes having smallpox and no vaccine reaction. having smallpox and severe vaccination reaction causes smallpox survival.,Would the person survives smallpox if lack of vaccination instead of vaccination?,no,"{'story_id': 'vaccine_kills', 'graph_id': 'diamond', 'given_info': {}, 'formal_form': 'Y_{X=0} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 167}","{'step0': 'Let X = vaccination status; V3 = vaccination reaction; V2 = getting smallpox; Y = smallpox survival.', 'step1': 'X->V3,X->V2,V2->Y,V3->Y', 'step2': 'Y_{X=0} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nV3 = not V2\nY = V2 and V3', 'step5': 'Y = [0] = 0 and 1', 'end': '0'}"
118,vaccine_kills-diamond-det-counterfactual-model167-spec1-q1,We know that vaccination causes having smallpox and no vaccine reaction. having smallpox and severe vaccination reaction causes smallpox survival.,Would the person dies from smallpox if lack of vaccination instead of vaccination?,yes,"{'story_id': 'vaccine_kills', 'graph_id': 'diamond', 'given_info': {}, 'formal_form': 'Y_{X=0} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 167}","{'step0': 'Let X = vaccination status; V3 = vaccination reaction; V2 = getting smallpox; Y = smallpox survival.', 'step1': 'X->V3,X->V2,V2->Y,V3->Y', 'step2': 'Y_{X=0} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nV3 = not V2\nY = V2 and V3', 'step5': 'Y = [0] = 0 and 1', 'end': '1'}"
119,vaccine_kills-diamond-det-counterfactual-model167-spec1-q2,We know that vaccination causes having smallpox and no vaccine reaction. having smallpox and severe vaccination reaction causes smallpox survival.,Would the person survives smallpox if vaccination instead of lack of vaccination?,no,"{'story_id': 'vaccine_kills', 'graph_id': 'diamond', 'given_info': {}, 'formal_form': 'Y_{X=1} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 167}","{'step0': 'Let X = vaccination status; V3 = vaccination reaction; V2 = getting smallpox; Y = smallpox survival.', 'step1': 'X->V3,X->V2,V2->Y,V3->Y', 'step2': 'Y_{X=1} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nV3 = not V2\nY = V2 and V3', 'step5': 'Y = [0] = 1 and 0', 'end': '0'}"
120,vaccine_kills-diamond-det-counterfactual-model167-spec1-q3,We know that vaccination causes having smallpox and no vaccine reaction. having smallpox and severe vaccination reaction causes smallpox survival.,Would the person dies from smallpox if vaccination instead of lack of vaccination?,yes,"{'story_id': 'vaccine_kills', 'graph_id': 'diamond', 'given_info': {}, 'formal_form': 'Y_{X=1} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 167}","{'step0': 'Let X = vaccination status; V3 = vaccination reaction; V2 = getting smallpox; Y = smallpox survival.', 'step1': 'X->V3,X->V2,V2->Y,V3->Y', 'step2': 'Y_{X=1} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nV3 = not V2\nY = V2 and V3', 'step5': 'Y = [0] = 1 and 0', 'end': '1'}"
121,blood_pressure-mediation-det-counterfactual-model168-spec0-q0,We know that taking medication causes low blood pressure. taking medication or high blood pressure causes healthy heart.,Would the person has a healthy heart if not taking medication instead of taking medication?,yes,"{'story_id': 'blood_pressure', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=0} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 168}","{'step0': 'Let X = medication; V2 = blood pressure; Y = heart condition.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=0} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = not X\nY = X or V2', 'step5': 'Y = 1 = 0 or 1', 'end': '1'}"
122,blood_pressure-mediation-det-counterfactual-model168-spec0-q1,We know that taking medication causes low blood pressure. taking medication or high blood pressure causes healthy heart.,Would the person experiences a heart problems if not taking medication instead of taking medication?,no,"{'story_id': 'blood_pressure', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=0} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 168}","{'step0': 'Let X = medication; V2 = blood pressure; Y = heart condition.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=0} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = not X\nY = X or V2', 'step5': 'Y = 1 = 0 or 1', 'end': '0'}"
123,blood_pressure-mediation-det-counterfactual-model168-spec0-q2,We know that taking medication causes low blood pressure. taking medication or high blood pressure causes healthy heart.,Would the person has a healthy heart if taking medication instead of not taking medication?,yes,"{'story_id': 'blood_pressure', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=1} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 168}","{'step0': 'Let X = medication; V2 = blood pressure; Y = heart condition.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=1} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = not X\nY = X or V2', 'step5': 'Y = 1 = 1 or 0', 'end': '1'}"
124,blood_pressure-mediation-det-counterfactual-model168-spec0-q3,We know that taking medication causes low blood pressure. taking medication or high blood pressure causes healthy heart.,Would the person experiences a heart problems if taking medication instead of not taking medication?,no,"{'story_id': 'blood_pressure', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=1} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 168}","{'step0': 'Let X = medication; V2 = blood pressure; Y = heart condition.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = not X\nY = X or V2', 'step5': 'Y = 1 = 1 or 0', 'end': '0'}"
125,blood_pressure-mediation-det-counterfactual-model169-spec1-q0,We know that taking medication causes high blood pressure. taking medication and high blood pressure causes healthy heart.,Would the person has a healthy heart if not taking medication instead of taking medication?,no,"{'story_id': 'blood_pressure', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=0} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 169}","{'step0': 'Let X = medication; V2 = blood pressure; Y = heart condition.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=0} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nY = X and V2', 'step5': 'Y = 0 = 0 and 0', 'end': '0'}"
126,blood_pressure-mediation-det-counterfactual-model169-spec1-q1,We know that taking medication causes high blood pressure. taking medication and high blood pressure causes healthy heart.,Would the person experiences a heart problems if not taking medication instead of taking medication?,yes,"{'story_id': 'blood_pressure', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=0} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 169}","{'step0': 'Let X = medication; V2 = blood pressure; Y = heart condition.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=0} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nY = X and V2', 'step5': 'Y = 0 = 0 and 0', 'end': '1'}"
127,blood_pressure-mediation-det-counterfactual-model169-spec1-q2,We know that taking medication causes high blood pressure. taking medication and high blood pressure causes healthy heart.,Would the person has a healthy heart if taking medication instead of not taking medication?,yes,"{'story_id': 'blood_pressure', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=1} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 169}","{'step0': 'Let X = medication; V2 = blood pressure; Y = heart condition.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=1} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nY = X and V2', 'step5': 'Y = 1 = 1 and 1', 'end': '1'}"
128,blood_pressure-mediation-det-counterfactual-model169-spec1-q3,We know that taking medication causes high blood pressure. taking medication and high blood pressure causes healthy heart.,Would the person experiences a heart problems if taking medication instead of not taking medication?,no,"{'story_id': 'blood_pressure', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=1} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 169}","{'step0': 'Let X = medication; V2 = blood pressure; Y = heart condition.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nY = X and V2', 'step5': 'Y = 1 = 1 and 1', 'end': '0'}"
